DateKey,FullDate,DayNum,MonthNum,MonthName,YearNum,QuarterNum,DayOfWeekNum,DayName
20210101,1/1/2021,1,1,January,2021,1,6,Friday
20210102,1/2/2021,2,1,January,2021,1,7,Saturday
20210103,1/3/2021,3,1,January,2021,1,1,Sunday
20210104,1/4/2021,4,1,January,2021,1,2,Monday
20210105,1/5/2021,5,1,January,2021,1,3,Tuesday
20210106,1/6/2021,6,1,January,2021,1,4,Wednesday
20210107,1/7/2021,7,1,January,2021,1,5,Thursday
20210108,1/8/2021,8,1,January,2021,1,6,Friday
20210109,1/9/2021,9,1,January,2021,1,7,Saturday
20210110,1/10/2021,10,1,January,2021,1,1,Sunday
20210111,1/11/2021,11,1,January,2021,1,2,Monday
20210112,1/12/2021,12,1,January,2021,1,3,Tuesday
20210113,1/13/2021,13,1,January,2021,1,4,Wednesday
20210114,1/14/2021,14,1,January,2021,1,5,Thursday
20210115,1/15/2021,15,1,January,2021,1,6,Friday
20210116,1/16/2021,16,1,January,2021,1,7,Saturday
20210117,1/17/2021,17,1,January,2021,1,1,Sunday
20210118,1/18/2021,18,1,January,2021,1,2,Monday
20210119,1/19/2021,19,1,January,2021,1,3,Tuesday
20210120,1/20/2021,20,1,January,2021,1,4,Wednesday
20210121,1/21/2021,21,1,January,2021,1,5,Thursday
20210122,1/22/2021,22,1,January,2021,1,6,Friday
20210123,1/23/2021,23,1,January,2021,1,7,Saturday
20210124,1/24/2021,24,1,January,2021,1,1,Sunday
20210125,1/25/2021,25,1,January,2021,1,2,Monday
20210126,1/26/2021,26,1,January,2021,1,3,Tuesday
20210127,1/27/2021,27,1,January,2021,1,4,Wednesday
20210128,1/28/2021,28,1,January,2021,1,5,Thursday
20210129,1/29/2021,29,1,January,2021,1,6,Friday
20210130,1/30/2021,30,1,January,2021,1,7,Saturday
20210131,1/31/2021,31,1,January,2021,1,1,Sunday
20210201,2/1/2021,1,2,February,2021,1,2,Monday
20210202,2/2/2021,2,2,February,2021,1,3,Tuesday
20210203,2/3/2021,3,2,February,2021,1,4,Wednesday
20210204,2/4/2021,4,2,February,2021,1,5,Thursday
20210205,2/5/2021,5,2,February,2021,1,6,Friday
20210206,2/6/2021,6,2,February,2021,1,7,Saturday
20210207,2/7/2021,7,2,February,2021,1,1,Sunday
20210208,2/8/2021,8,2,February,2021,1,2,Monday
20210209,2/9/2021,9,2,February,2021,1,3,Tuesday
20210210,2/10/2021,10,2,February,2021,1,4,Wednesday
20210211,2/11/2021,11,2,February,2021,1,5,Thursday
20210212,2/12/2021,12,2,February,2021,1,6,Friday
20210213,2/13/2021,13,2,February,2021,1,7,Saturday
20210214,2/14/2021,14,2,February,2021,1,1,Sunday
20210215,2/15/2021,15,2,February,2021,1,2,Monday
20210216,2/16/2021,16,2,February,2021,1,3,Tuesday
20210217,2/17/2021,17,2,February,2021,1,4,Wednesday
20210218,2/18/2021,18,2,February,2021,1,5,Thursday
20210219,2/19/2021,19,2,February,2021,1,6,Friday
20210220,2/20/2021,20,2,February,2021,1,7,Saturday
20210221,2/21/2021,21,2,February,2021,1,1,Sunday
20210222,2/22/2021,22,2,February,2021,1,2,Monday
20210223,2/23/2021,23,2,February,2021,1,3,Tuesday
20210224,2/24/2021,24,2,February,2021,1,4,Wednesday
20210225,2/25/2021,25,2,February,2021,1,5,Thursday
20210226,2/26/2021,26,2,February,2021,1,6,Friday
20210227,2/27/2021,27,2,February,2021,1,7,Saturday
20210228,2/28/2021,28,2,February,2021,1,1,Sunday
20210301,3/1/2021,1,3,March,2021,1,2,Monday
20210302,3/2/2021,2,3,March,2021,1,3,Tuesday
20210303,3/3/2021,3,3,March,2021,1,4,Wednesday
20210304,3/4/2021,4,3,March,2021,1,5,Thursday
20210305,3/5/2021,5,3,March,2021,1,6,Friday
20210306,3/6/2021,6,3,March,2021,1,7,Saturday
20210307,3/7/2021,7,3,March,2021,1,1,Sunday
20210308,3/8/2021,8,3,March,2021,1,2,Monday
20210309,3/9/2021,9,3,March,2021,1,3,Tuesday
20210310,3/10/2021,10,3,March,2021,1,4,Wednesday
20210311,3/11/2021,11,3,March,2021,1,5,Thursday
20210312,3/12/2021,12,3,March,2021,1,6,Friday
20210313,3/13/2021,13,3,March,2021,1,7,Saturday
20210314,3/14/2021,14,3,March,2021,1,1,Sunday
